identifier,creator,title,publisher,date,bibliographicCitation,description
jack-kerouac-1,William S. Burroughs,Jack Kerouac,Paris: L'Herne,1971,"schottlaender/4.0/A25, maynard-and-miles/A18a",First. Signed by Burroughs at contribution.
the-wild-boys-1,William S. Burroughs,The Wild Boys,"New York: Grove Press, Inc.",1971,"schottlaender/4.0/A26a, maynard-and-miles/A20a",First. Signed by Burroughs.
antaeus-2-1,William S. Burroughs,Antaeus 2,,1971,"schottlaender/4.0/C302, maynard-and-miles/C304",Maynard and Miles C304. Signed by Burroughs at entry.
letter-out-of-nowhere-1,William S. Burroughs,Letter Out Of Nowhere,London: Anthony Harris,1971,schottlaender/4.0/G30,"First. Per James Musser: ""Single sheet (done in the style of a letter) printing a cut-up by Burroughs of a Harris text.  Enclosed in a mailing envelope.  Slightly darkened from age, else fine (trivial wear to envelope)."""
promotional-flyer-for-am-here-1,William S. Burroughs,Promotional Flyer for Am Here Books,"Ollon, Switzerland: Am Here Books",1971,schottlaender/4.0/G61,"Fascimile of an untitled Burroughs manuscript page, revised text appearing later as ""Seeing Red"" in Exterminator!  Printed on the verso of a promotional announcement for Am Here Books, one of 70 printed. Folded and sealed with a Fluxus stamp as issued."
william-burroughs-the-algebr-1,Eric Mottram,William Burroughs - The Algebra of Need,Buffalo: INTREPID Press,1971,schottlaender/4.0/I38a,
time-3,William S. Burroughs,Time,"Sussex, England: Urgency Press Rip-Off",1972,"schottlaender/4.0/A15b, maynard-and-miles/A11b","The piracy of the ""C"" Press edition."
time-4,William S. Burroughs,Time,"Sussex, England: Urgency Press Rip-Off",1972,"schottlaender/4.0/A15b, maynard-and-miles/A11b","The piracy of the ""C"" Press edition.  Some yellowing at top and bottom."
the-wild-boys-2,William S. Burroughs,The Wild Boys,London: Calder and Boyars,1972,"schottlaender/4.0/A20b, maynard-and-miles/A20b",First English. Slightly soiled dust jacket.
the-wild-boys-3,William S. Burroughs,The Wild Boys,"New York: Grove Press, Inc.",1972,"schottlaender/4.0/A26c, maynard-and-miles/A20d",First American paperback. Signed by Burroughs.
proposed-layout-for-wsb-archiv-1,Barry Miles,Proposed Layout For WSB Archive Description,,1973,,"Drawing by Barry Miles titled ""Proposed Layout For WSB Archive Description"", in reference to the ""A Descriptive Catalogue of the William S . Burroughs Archive"". Drawing signed by Miles. Together with a letter and stamped envelope from Roberto Altmann to Philip Kaplan discussing a question about publishing matters at Altmann's Aperios imprint, and a 1974 New's Year greetings card from Maggy and Roberto Altmann, with artwork signed ""MA."""
william-burroughs-archive-cont-1,"Richard Aaron, Roberto Altmann",William Burroughs Archive Contract,,1973,,"Richard Aaron's copy of the contract (in German) for the sale of Burroughs' literary archive, as described in ""A Descriptive Catalogue of the William S. Burroughs Archive,"" to Roberto Altmann. Signed by Burroughs, Brion Gysin, Richard Aaron and Altmann, and dated 23 June 1973. This is the archive now in the Berg Collection of the New York Public Library."
william-burroughs-archive-fl-1,Brion Gysin,William Burroughs Archive - Flyer,,1973,,"The typescript of the introductory section of ""A Descriptive Catalogue of the William S . Burroughs Archive,"" together with notes on the catalog by Brion Gysin on lined notebook paper. Notes slightly yellowed at top, else fine. Per James Musser: ""GYSIN, Brion.  Gysin's handwritten notes listing corrections for The Descriptive Catalog of the William S. Burroughs Archive published by Covent Garden in 1973.  3 pages. 4to. Gysin carefully lists, page-by-page, suggested corrections to the text of the catalog of the Burroughs archive that also included much of his own material.  TOGETHER WITH two pages of original typescript by Gysin titled ""Flyer.""  Gysin's text, never published, was intended to be a promotional flyer describing the catalog of the Burroughs archive.  Fine."""
ali-s-smile-2,William S. Burroughs,Ali's Smile,"Bonn, Germany: Expanded Media Editions",1973,schottlaender/4.0/A22b,"First German. Bilingual English/German text. Number 22 of 100, signed by Burroughs."
ali-s-smile-3,William S. Burroughs,Ali's Smile,"Bonn, Germany: Expanded Media Editions",1973,schottlaender/4.0/A22b,"First German. Bilingual English/German text. Number 24 of 100, signed by Burroughs. Slight bend in bottom edge."
the-wild-boys-4,William S. Burroughs,The Wild Boys,London: Corgi Books,1973,"schottlaender/4.0/A26d, maynard-and-miles/A20e",Softbound.
exterminator-1,William S. Burroughs,Exterminator!,"New York: The Viking Press, Inc.",1973,"schottlaender/4.0/A27, maynard-and-miles/A23a",First. Dust jacket slightly soiled.
mayfair-acadamy-series-more-o-1,William S. Burroughs,Mayfair Acadamy Series (More or Less),"Brighton, England: Urgency Press Rip-Off",1973,"schottlaender/4.0/A28, maynard-and-miles/A25a",First.
white-subway-1,William S. Burroughs,White Subway,London: Aloes Press,1973,"schottlaender/4.0/A30, maynard-and-miles/A24a",First. Signed by Burroughs. Number 13 of 25. In custom clamshell case.
white-subway-2,William S. Burroughs,White Subway,London: Aloes Press,1973,"schottlaender/4.0/A30, maynard-and-miles/A24a",First. In wrappers with several small scrapes and spots.
the-book-of-breething-1,William S. Burroughs,The Book of Breething,"Ingatestone, Essex, UK: OU Henri Chopin",1973,schottlaender/4.0/A31a,"First. The publisher's archive for The Book of Breething. Set in a four-ring binder, it contains: 1) the typescript of the book, with corrections in Burroughs' hand; 2) the contract between Burroughs, Verbrugghen and the publisher, Henri Chopin (in French), signed by Burroughs; 3) signed correspondence from Burroughs to Verbrugghen about the contract and completion of the book; 4) typescripts of French and Dutch translations of the text, by Jean Chopin and Verbrugghen, respectively; 5) a manuscript of the French translation by Jean Chopin; and 6) some of the original drawings by the artist, Bob Gale, being that on the cover and on pages 20, 22 and 28 of the first edition."
brion-gysin-let-the-mice-in-1,"Brion Gysin, William S. Burroughs, Ian Sommerville",Brion Gysin Let The Mice In,"West Glover, England: Something Else Press, Inc.",1973,"schottlaender/4.0/G31, maynard-and-miles/A22a",First. Dust jacket slightly worn and rubbed in places.
a-descriptive-catalogue-of-the-1,"Barry Miles, Brion Gysin",A Descriptive Catalogue of the William S. Burroughs Archive,"London/Ollon: Covent Garden Press, Ltd./Am Here Books",1973,schottlaender/4.0/I6,"Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, lettered O of 26. Bound in white leather. Laid in is a typescript signed by Burroughs with corrections in Burroughs' hand, corresponding to but with variations from the text on page 161 of the catalog describing Item 1 from Folio Number 65, starting ""Audrey Carsons, the Dead Child, the Frisco Kid..."" In slipcase."
a-descriptive-catalogue-of-the-2,"Barry Miles, Brion Gysin",A Descriptive Catalogue of the William S. Burroughs Archive,"London/Ollon: Covent Garden Press, Ltd./Am Here Books",1973,schottlaender/4.0/I6,"Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. A presentation copy from Brion Gysin to Richard and Lilia Aaron. This copy has a full-page calligraphic drawing by Gysin (similar in form to the one numbered ""iv"" on the cover of the catalog) on the recto of the leaf before the title page. Signed by Gysin and inscribed ""for Lilia + Richard with love."" In acetate dust jacket."
a-descriptive-catalogue-of-the-3,"Barry Miles, Brion Gysin",A Descriptive Catalogue of the William S. Burroughs Archive,"London/Ollon: Covent Garden Press, Ltd./Am Here Books",1973,schottlaender/4.0/I6,"Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. Some foxing to edges, and the top edge of the front of the acetate dust jacket is cut off."
jean-genet-in-tangier-1,Mohamed Choukri,Jean Genet in Tangier,New York: The Ecco Press,1974,,First. Signed by Burroughs.  Contains forward by Burroughs.
exterminator-a-novel-1,William S. Burroughs,Exterminator! A Novel,London: Calder and Boyars,1974,schottlaender/4.0/A27b,Hardbound.
the-book-of-breething-2,William S. Burroughs,The Book of Breething,"Ingatestone, Essex, UK: OU Henri Chopin",1974,schottlaender/4.0/A31a,"First. Signed by Burroughs. One of 350, unnumbered, in wrappers. Some fading of print on front cover."
electric-banana-1,Mary Beach,Electric Banana,"Cherry Valley, NY: Cherry Valley Editions",1975,,"First. Signed by Mary Beach, one of 500 issued in wraps. Contains introduction by Burroughs. Price on back of cover wraps inked out."
the-last-words-of-dutch-schult-3,William S. Burroughs,The Last Words of Dutch Schultz,"New York: Viking Press, Inc.",1975,schottlaender/4.0/A22b,First American.
port-of-saints-1,William S. Burroughs,Port of Saints,"London: Covent Garden Press, Ltd.",1975,schottlaender/4.0/A29a,"First. Signed and numbered by Burroughs, number 32 of 100. Some rubbing to slipcase."
the-book-of-breething-3,William S. Burroughs,The Book of Breething,Berkeley: Blue Wind Press,1975,schottlaender/4.0/A31b,First American. Signed by Burroughs.
